Moonrise_left,Moonset,Moonrise_right,Time,Distance (km),Illumination,Year,Month,Day
-,04:28,18:34,23:48,"380,066",93.8%,2023,6,1
-,04:54,19:47,Moon does not pass the meridian on this day.,,,2023,6,2
-,05:26,21:03,00:40,"374,891",98.1%,2023,6,3
-,06:07,22:17,01:37,"370,498",99.9%,2023,6, 4
-,06:59,23:25,02:39,"367,247",98.8%,2023,6,5
-,08:05,-,03:44,"365,358",94.8%,2023,6,6
00:21,09:19,-,04:48,"364,876",88.1%,2023,6,7
01:06,10:38,-,05:48,"365,682",79.0%,2023,6,8
01:41,11:56,-,06:44,"367,540",68.3%,2023,6,9
02:10,13:12,-,07:35,"370,171",56.7%,2023,6, 10
02:35,14:24,-,08:24,"373,307",45.0%,2023,6,11
02:57,15:35,-,09:10,"376,737",33.8%,2023,6,12
03:20,16:45,-,09:56,"380,311",23.6%,2023,6,13
03:43,17:55,-,10:42,"383,939",14.9%,2023,6,14
04:10,19:04,-,11:31,"387,565",8.0%,2023,6,15
04:40,20:13,-,12:21,"391,144",3.2%,2023,6,16
05:17,21:17,-,13:14,"394,611",0.6%,2023,6,17
06:02,22:15,-,14:08,"397,863",0.2%,2023,6, 18
06:54,23:05,-,15:01,"400,755",2.0%,2023,6,19
07:52,23:45,-,15:52,"403,104",5.6%,2023,6,20
08:54,-,-,16:41,"404,710",11.0%,2023,6,21
-,00:18,09:57,17:27,"405,377",17.8%,2023,6,22
-,00:45,11:00,18:10,"404,938",25.8%,2023,6,23
-,01:09,12:01,18:51,"403,281",34.7%,2023,6,24
-,01:29,13:02,19:31,"400,368",44.3%,2023,6,25
-,01:49,14:04,20:11,"396,257",54.4%,2023,6, 26
-,02:08,15:07,20:53,"391,118",64.5%,2023,6,27
-,02:29,16:13,21:38,"385,235",74.3%,2023,6,28
-,02:52,17:24,22:26,"379,008",83.3%,2023,6,29
-,03:21,18:38,23:21,"372,932",90.9%,2023,6,30
