Date,light_price_kwh,Year,Month,Day,Hour
2023-06-14,0.13035,2023,6,14,00:00:00
2023-06-14,0.12375,2023,6,14,01:00:00
2023-06-14,0.12248,2023,6,14,02:00:00
2023-06-14,0.12311,2023,6,14,03:00:00
2023-06-14,0.12269,2023,6,14,04:00:00
2023-06-14,0.12932,2023,6,14,05:00:00
2023-06-14,0.13218,2023,6,14,06:00:00
2023-06-14,0.13329,2023,6,14,07:00:00
2023-06-14,0.14105,2023,6,14,08:00:00
2023-06-14,0.1258,2023,6,14,09:00:00
2023-06-14,0.16811,2023,6,14,10:00:00
2023-06-14,0.15454,2023,6,14,11:00:00
2023-06-14,0.16626,2023,6,14,12:00:00
2023-06-14,0.16925,2023,6,14,13:00:00
2023-06-14,0.12343,2023,6,14,14:00:00
2023-06-14,0.12402,2023,6,14,15:00:00
2023-06-14,0.12399,2023,6,14,16:00:00
2023-06-14,0.1277,2023,6,14,17:00:00
2023-06-14,0.18146,2023,6,14,18:00:00
2023-06-14,0.20386,2023,6,14,19:00:00
2023-06-14,0.20751,2023,6,14,20:00:00
2023-06-14,0.22164,2023,6,14,21:00:00
2023-06-14,0.17609,2023,6,14,22:00:00
2023-06-14,0.16604,2023,6,14,23:00:00
2023-06-15,0.1433,2023,6,15,00:00:00
2023-06-15,0.13969,2023,6,15,01:00:00
2023-06-15,0.13864,2023,6,15,02:00:00
2023-06-15,0.13908,2023,6,15,03:00:00
2023-06-15,0.13866,2023,6,15,04:00:00
2023-06-15,0.13609,2023,6,15,05:00:00
2023-06-15,0.14155,2023,6,15,06:00:00
2023-06-15,0.14542,2023,6,15,07:00:00
2023-06-15,0.16846,2023,6,15,08:00:00
2023-06-15,0.16763,2023,6,15,09:00:00
2023-06-15,0.21193,2023,6,15,10:00:00
2023-06-15,0.20516,2023,6,15,11:00:00
2023-06-15,0.1985,2023,6,15,12:00:00
2023-06-15,0.19522,2023,6,15,13:00:00
2023-06-15,0.14935,2023,6,15,14:00:00
2023-06-15,0.15269,2023,6,15,15:00:00
2023-06-15,0.15613,2023,6,15,16:00:00
2023-06-15,0.15975,2023,6,15,17:00:00
2023-06-15,0.20859,2023,6,15,18:00:00
2023-06-15,0.21198,2023,6,15,19:00:00
2023-06-15,0.21685,2023,6,15,20:00:00
2023-06-15,0.25418,2023,6,15,21:00:00
2023-06-15,0.21496,2023,6,15,22:00:00
2023-06-15,0.18186,2023,6,15,23:00:00
