Hour,condition,precip_percent,cloud_cover_percent,humidity_percent,temp_celsius,precip_mm,pressure_hPa,Year,Month,Day
13:00:00,mostly sunny,3.0,21.0,46.0,27.22,0.0,1017.27,2023,6,14
14:00:00,mostly sunny,1.0,23.0,47.0,27.22,0.0,1017.27,2023,6,14
15:00:00,sunny,0.0,17.0,48.0,27.22,0.0,1016.93,2023,6,14
16:00:00,mostly sunny,0.0,21.0,52.0,26.11,0.0,1016.93,2023,6,14
17:00:00,mostly sunny,2.0,24.0,53.0,26.11,0.0,1016.93,2023,6,14
18:00:00,sunny,3.0,16.0,54.0,25.56,0.0,1016.93,2023,6,14
19:00:00,sunny,1.0,9.0,57.0,25.0,0.0,1016.59,2023,6,14
20:00:00,sunny,1.0,6.0,60.0,24.44,0.0,1016.93,2023,6,14
21:00:00,sunny,2.0,5.0,65.0,22.78,0.0,1017.27,2023,6,14
22:00:00,clear,4.0,9.0,73.0,22.22,0.0,1017.95,2023,6,14
23:00:00,clear,5.0,9.0,76.0,21.11,0.0,1018.29,2023,6,14
13:00:00,mostly sunny,3.0,21.0,46.0,27.22,0.0,1017.27,2023,6,15
14:00:00,mostly sunny,1.0,23.0,47.0,27.22,0.0,1017.27,2023,6,15
15:00:00,sunny,0.0,17.0,48.0,27.22,0.0,1016.93,2023,6,15
16:00:00,mostly sunny,0.0,21.0,52.0,26.11,0.0,1016.93,2023,6,15
17:00:00,mostly sunny,2.0,24.0,53.0,26.11,0.0,1016.93,2023,6,15
18:00:00,sunny,3.0,16.0,54.0,25.56,0.0,1016.93,2023,6,15
19:00:00,sunny,1.0,9.0,57.0,25.0,0.0,1016.59,2023,6,15
20:00:00,sunny,1.0,6.0,60.0,24.44,0.0,1016.93,2023,6,15
21:00:00,sunny,2.0,5.0,65.0,22.78,0.0,1017.27,2023,6,15
22:00:00,clear,4.0,9.0,73.0,22.22,0.0,1017.95,2023,6,15
23:00:00,clear,5.0,9.0,76.0,21.11,0.0,1018.29,2023,6,15
