,day,time,condition,temp,feels_like,precip_percent,precip_amount,cloud_cover,dew_point,humidity_percent,wind_vel,pressure
0,2023-06-14,11:00 am,Mostly Sunny,74ʡF,74ʡF,3ʡ%,0ʡin,28ʡ%,58ʡF,57ʡ%,5ʡmph SSW,29.87ʡin
1,2023-06-14,12:00 pm,Mostly Sunny,75ʡF,75ʡF,4ʡ%,0ʡin,28ʡ%,58ʡF,55ʡ%,6ʡmph S,29.88ʡin
2,2023-06-14,1:00 pm,Partly Cloudy,77ʡF,77ʡF,6ʡ%,0ʡin,30ʡ%,59ʡF,54ʡ%,8ʡmph S,29.88ʡin
3,2023-06-14,2:00 pm,Partly Cloudy,77ʡF,77ʡF,6ʡ%,0ʡin,41ʡ%,60ʡF,55ʡ%,9ʡmph S,29.88ʡin
4,2023-06-14,3:00 pm,Partly Cloudy,78ʡF,78ʡF,6ʡ%,0ʡin,49ʡ%,60ʡF,54ʡ%,9ʡmph S,29.88ʡin
5,2023-06-14,4:00 pm,Partly Cloudy,78ʡF,78ʡF,7ʡ%,0ʡin,45ʡ%,60ʡF,54ʡ%,9ʡmph S,29.88ʡin
6,2023-06-14,5:00 pm,Partly Cloudy,78ʡF,78ʡF,16ʡ%,0ʡin,43ʡ%,60ʡF,55ʡ%,8ʡmph S,29.88ʡin
7,2023-06-14,6:00 pm,Partly Cloudy,76ʡF,77ʡF,9ʡ%,0ʡin,35ʡ%,60ʡF,58ʡ%,8ʡmph S,29.89ʡin
8,2023-06-14,7:00 pm,Partly Cloudy,76ʡF,76ʡF,5ʡ%,0ʡin,35ʡ%,61ʡF,61ʡ%,8ʡmph SSW,29.90ʡin
9,2023-06-14,8:00 pm,Mostly Sunny,74ʡF,74ʡF,2ʡ%,0ʡin,28ʡ%,62ʡF,66ʡ%,8ʡmph SSW,29.92ʡin
10,2023-06-14,9:00 pm,Partly Cloudy,72ʡF,73ʡF,3ʡ%,0ʡin,30ʡ%,62ʡF,72ʡ%,8ʡmph SW,29.94ʡin
11,2023-06-14,10:00 pm,Partly Cloudy,71ʡF,72ʡF,6ʡ%,0ʡin,40ʡ%,63ʡF,76ʡ%,6ʡmph SW,29.96ʡin
12,2023-06-14,11:00 pm,Partly Cloudy,70ʡF,71ʡF,15ʡ%,0ʡin,51ʡ%,64ʡF,81ʡ%,6ʡmph WSW,29.99ʡin
13,2023-06-15,12:00 am,Partly Cloudy,69ʡF,70ʡF,6ʡ%,0ʡin,49ʡ%,64ʡF,82ʡ%,5ʡmph WSW,29.99ʡin
14,2023-06-15,1:00 am,Partly Cloudy,69ʡF,70ʡF,7ʡ%,0ʡin,42ʡ%,64ʡF,84ʡ%,4ʡmph W,30.00ʡin
15,2023-06-15,2:00 am,Partly Cloudy,68ʡF,69ʡF,7ʡ%,0ʡin,38ʡ%,63ʡF,86ʡ%,3ʡmph WNW,30.00ʡin
16,2023-06-15,3:00 am,Partly Cloudy,67ʡF,68ʡF,7ʡ%,0ʡin,53ʡ%,63ʡF,88ʡ%,3ʡmph NW,29.99ʡin
17,2023-06-15,4:00 am,Partly Cloudy,66ʡF,67ʡF,8ʡ%,0ʡin,40ʡ%,63ʡF,89ʡ%,4ʡmph NW,29.99ʡin
18,2023-06-15,5:00 am,Partly Cloudy,65ʡF,66ʡF,8ʡ%,0ʡin,34ʡ%,62ʡF,89ʡ%,5ʡmph NNW,29.99ʡin
19,2023-06-15,6:00 am,Partly Cloudy,65ʡF,65ʡF,7ʡ%,0ʡin,42ʡ%,60ʡF,84ʡ%,6ʡmph NNW,29.99ʡin
20,2023-06-15,7:00 am,Partly Cloudy,65ʡF,65ʡF,5ʡ%,0ʡin,41ʡ%,59ʡF,79ʡ%,7ʡmph NNW,30.00ʡin
21,2023-06-15,8:00 am,Partly Cloudy,68ʡF,68ʡF,4ʡ%,0ʡin,34ʡ%,59ʡF,73ʡ%,7ʡmph N,30.01ʡin
22,2023-06-15,9:00 am,Mostly Sunny,72ʡF,72ʡF,2ʡ%,0ʡin,28ʡ%,59ʡF,63ʡ%,6ʡmph N,30.02ʡin
23,2023-06-15,10:00 am,Mostly Sunny,76ʡF,76ʡF,1ʡ%,0ʡin,21ʡ%,58ʡF,54ʡ%,5ʡmph N,30.03ʡin
24,2023-06-15,11:00 am,Mostly Sunny,79ʡF,80ʡF,8ʡ%,0ʡin,25ʡ%,58ʡF,49ʡ%,4ʡmph ENE,30.04ʡin
25,2023-06-15,12:00 pm,Mostly Sunny,79ʡF,81ʡF,0ʡ%,0ʡin,28ʡ%,59ʡF,50ʡ%,6ʡmph SE,30.04ʡin
26,2023-06-15,1:00 pm,Mostly Sunny,80ʡF,82ʡF,0ʡ%,0ʡin,26ʡ%,60ʡF,49ʡ%,8ʡmph SSE,30.05ʡin
27,2023-06-15,2:00 pm,Mostly Sunny,81ʡF,82ʡF,0ʡ%,0ʡin,26ʡ%,59ʡF,47ʡ%,9ʡmph SSE,30.05ʡin
28,2023-06-15,3:00 pm,Partly Cloudy,80ʡF,82ʡF,0ʡ%,0ʡin,41ʡ%,60ʡF,49ʡ%,9ʡmph SSE,30.04ʡin
29,2023-06-15,4:00 pm,Partly Cloudy,80ʡF,82ʡF,0ʡ%,0ʡin,33ʡ%,60ʡF,50ʡ%,9ʡmph SSE,30.03ʡin
30,2023-06-15,5:00 pm,Mostly Sunny,79ʡF,81ʡF,0ʡ%,0ʡin,21ʡ%,59ʡF,50ʡ%,9ʡmph S,30.03ʡin
31,2023-06-15,6:00 pm,Sunny,79ʡF,80ʡF,0ʡ%,0ʡin,16ʡ%,59ʡF,51ʡ%,9ʡmph S,30.02ʡin
32,2023-06-15,7:00 pm,Sunny,77ʡF,80ʡF,0ʡ%,0ʡin,17ʡ%,60ʡF,54ʡ%,9ʡmph S,30.02ʡin
33,2023-06-15,8:00 pm,Sunny,76ʡF,76ʡF,1ʡ%,0ʡin,6ʡ%,60ʡF,59ʡ%,8ʡmph SSW,30.03ʡin
34,2023-06-15,9:00 pm,Sunny,74ʡF,74ʡF,1ʡ%,0ʡin,6ʡ%,61ʡF,64ʡ%,6ʡmph SSW,30.04ʡin
35,2023-06-15,10:00 pm,Clear,72ʡF,72ʡF,3ʡ%,0ʡin,5ʡ%,62ʡF,71ʡ%,5ʡmph SSW,30.06ʡin
36,2023-06-15,11:00 pm,Clear,70ʡF,71ʡF,5ʡ%,0ʡin,7ʡ%,62ʡF,76ʡ%,3ʡmph SW,30.07ʡin
